NÚMERO  ,EMPRESA,DOMICILIO,CLAVE DEL ESTADO,ESTADO ,CLAVE DEL MUNICIPIO,MUNICIPIO,CAPACIDAD DE TRATAMIENTO (TON/AÑO),AUTORIZADO PARA REMEDIAR:,No.  AUTORIZACIÓN ,OFICIO DE AUTORIZACION  DGGIMAR.710/,FECHA DE INICIO DE VIGENCIA,FECHA DE TÉRMINO DE VIGENCIA ,MODIFICACIONES  A LA AUTORIZACIÓN NÚMERO DE OFICIO/FECHA  ,CLAVES DE LOS PROCESOS DE TRATAMIENTO AUTORIZADOS         ,  OTROS  TRATAMIENTOS
105,Servicios y Transportes Ragar S.A. de C.V.,"Hacienda Chihuahua No. 109
Colonia Fidel Velázquez  
67484 Cadereyta Jiménez, Nuevo León.
Tel. 01(828) 698441
juridico_laboral@forsis.com.mx
",19,Nuevo León,9,Cadereyta Jiménez,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",19-V-06-16,747,3/2/2016,3/2/2026,,"LAND-S
LAND-LS
OXIQ-LS 
",
106,"Constructora y Perforadora Azteca, SA de CV","Río Verde No 109, Col Miravalle  Monterrey, N.L.",19,Nuevo León,39,Monterrey,"4,000 m3/mes",Lodos de perforación contaminados con hidrocarburos y restauración de áreas superficiales contaminadas con hidrocarburos,19-39-PS-IV-13-95,DGNA 1534,6/4/1995,Vigencia indefinida,,, Tratamiento in situ .No indica proceso de tratamiento
107,"Sistemas y Tratamientos de Tabasco, S.A. de C.V.","Carretera Federal Puebla-Tlaxcala No. 5052 
San Jerónimo, Caleras 
C.P. 72100, Puebla, Puebla 
Tel. 01(222) 2683232  
cobback@hotmail.com
",21,Puebla,114,Puebla ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-15-10,1302,1/3/2010,1/3/2020,,"PILA-LS
LAND-LS",
108,"Desarrollos Metropolitanos Ipanema, S.A. de C.V.","Carretera Federal Puebla-Tlaxcala No. 5052 
San Jerónimo, Caleras 
C.P. 72100, Puebla, Puebla 
Tel. 01(222) 2683232  
cobback@hotmail.com
",21,Puebla,114,Puebla ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-18-10 ,1300,1/3/2010,1/3/2020,,"PILA-LS
LAND-LS",
109,"Desarrollos Urbanos del Sureste, S.A. de C.V.","Carretera Federal Puebla-Tlaxcala No. 5052 
San Jerónimo, Caleras 
C.P. 72100, Puebla, Puebla 
Tel. 01(222) 2683232  
cobback@hotmail.com
",21,Puebla,114,Puebla ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-19-10 ,1301,1/3/2010,1/3/2020,,"PILA-LS
LAND-LS",
110,"Verde y Azul Tecnología, S.A. de C.V.","Juan Pablo II  No. 1418 
Fracc. Las Animas,  C.P. 74160 
Huejotzingo, Puebla 
Tel.  01(227) 276 6961 
jmonroy@vyatec.com
",21,Puebla,74,Huejotzingo,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-11-12,1776,5/3/2012,5/3/2022,,"PILA-LS
LAND-S
EXVA-S
BVAE-S",
111,"RAD Empresarial, S.A. de C.V.","Calle Atzacoalco No. 224-B
Fraccionamiento El Pilar, C.P. 72760
San Pedro Cholula, Puebla
Tel. 01(222) 225 54 34
",21,Puebla,140,San Pedro Cholula,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-08-13,2281,14/03/2013,14/03/2023,,"PILA-LS
OXIQ-LS
LAVS-LS",
112,"Construcciones y Soluciones Ambientales MADEISA, S.A. de C.V.","Lateral Sur Recta a Cholula No. 23-1B 
Col. Santa Cruz Buenavista 
C.P. 72150, Puebla, Puebla
Tel. 01(222)  274 4416 
madeisa@prodigy.net.mx",21,Puebla,114,Puebla,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",21-V-53-14 ,8182,12/9/2014,12/9/2024,,"PILA-LS
OXIQ-LS
LAVS-LS
EXVA-S
BVAE-S
",
113,Proyectos Ambientales Integrales S.C.,"Blvd. de las Torres No. 614
Col. Loma Linda, C.P. 72477
Puebla, Puebla
Tel. (55) 26301409 
prais@prais.com.mx 
",21,Puebla,114,Puebla,,Suelos contaminados con hidrocarburos; suelos contaminados con ácidos o bases; suelos contaminados con cianuro de sodio,21-V-10-15,3206,6/4/2015,6/4/2025,,"LAND-S
PILA-S 
EXVA-S 
BVAE-S 
LAND-LS
PILA-LS
OXIQ-LS  
LAVS-LS 
NEUQ-LS
",
114,"Construcciones e Ingeniería Ojo de Agua,S de R.L. de C.V.","Vicente Suárez No. 125
Colonia Centro
73080 Xicotepec de Juárez, Puebla 
Tel. (045) 78-21-66-78-23
david_inocencio_vf@hotmail.com ",21,Puebla,197,Xicotepec,,Suelos contaminados con hidrocarburos,21-V-41-16,6268,1/7/2016,1/7/2026,,"BVAE-S
EXVA-S
LAND-LS 
PILA-LS
OXIQ-LS      ",
115,"Ingeniería Ambiental, Construcción y Mantenimiento IACONSMA, S.A. de C.V.","Av. Jurica San Juan No. 1111 
Col. Juriquilla, C.P. 76230
Querétaro, Qro. 
Tel: 01(442) 234 1503, 234 1358
iaconsma@prodigy.net.mx
",22,Querétaro ,14,Querétaro ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","22-V-23-15 
PRÓRROGA",4340,20/05/2015,20/05/2020,,"EXVA-S
BVAE-S
LAND-S
PILA-LS
LAND-LS 
",
116,"IMPETRO Environment, S.A. de C.V.","Paseo Constituyentes No. 1725
Col. El Pueblito
C.P. 76900 Corregidora, Qro.
01(442) 242 7697
contacto@impetroenvaironment.com",22,Querétaro ,6,Corregidora,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",22-V-39-14,4645,3/6/2014,3/6/2024,,"OXIQ-LS
LAND-LS
PILA-LS
BVAE-S
EXVA-S",
117,"Jesmar Representaciones y Servicios, S.A. de C.V.","Bosque de fresnos No. 24,
Colonia Bosques de Viena,
76905, Corregidora, Querétaro
Tel. (442) 4875106
jesmar01@prodigy.net.mx
",22,Querétaro ,6,Corregidora,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",22-V-61-15,9666,14/12/2015,14/12/2025,,"LAND-S
LAND-LS
OXIQ-LS
LAVS-LS 
",
118,Grupo Empresarial Energía y Medio Ambiente S.A. de C.V.,"Calle Camino Real de Carretas No. 399
Fraccionamiento Mileno III
76060 Santiago de Querétaro, Querétaro 
Tel. 01-(442)-1253-542
madelarosa@genermasa.com ",22,Querétaro ,14,Querétaro ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos
Suelos Contaminados con ácidos, bases y cianuros",22-V-34-16 ,5613,16/06/2016,16/06/2026,,"BVAE-S
LAND-S
EXVA-S
LAND-LS 
PILA-LS
OXIQ-LS
LAVS-LS
NEUQ-LS
OTR1-LS
     ",OTR1-LS: Tratamiento de suelos con cianuros
119,"CEASSA, S.C.","Av. Sierra Leona No. 550 
Col. Lomas 2da. Sección 
C.P. 78210, San Luis Potosí, San Luis Potosí
Tel./ Fax  01(444) 8257013 
monroyma@slp.mx
",24,San Luis Potosí,28,San Luis Potosí,,Suelos contaminados con hidrocarburos,24-V-81-10,4816,25/06/2010,25/06/2020,,"PILA-LS
LAND-S
EXVA-S
BVAE-S",
120,"MIC-BAC, S.A. de C.V.","Prolongación Nero Rodríguez Barragán No. 880
Fraccionamiento San Pedro  C.P.78178
San Luis Potosí, San Luis Potosí
Tel. 01(444) 825 6078, 817 6137
jmm@trataragua.com  ",24,San Luis Potosí,28,San Luis Potosí,,Suelos contaminados con hidrocarburos,24-V-43-15,6713,9/9/2015,9/9/2025,,"LAND-S
BVAE-S
EXVA-S
PILA-LS
LAND-LS  ",
121,"BMV Ingeniería del Medio Ambiente, S.A. de C.V. ","Constitución No. 422-1 Sur
Col. Centro, C.P. 81200
Municipio de Ahome, Localidad Los Mochis, Sinaloa 
Tel. y fax  01(668) 812-44-78
bmv_ingenieria@yahoo.com.mx
",25,Sinaloa ,1,Ahome,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","25-V-28-15 
PRÓRROGA ",4691,1/6/2015,1/6/2020,,"BVAE-S 
EXVA-S
PILA-LS
OXIQ-LS
LAVS-LS   
 ",
122,"Louisiana Remediation Company de México, S de RL de CV","Boulevard del Centro No 115, Fracc Prados de Villahermosa, CP 86030, Villahermosa  Tab,      Tel y Fax: 01(993)314 06 88",27,Tabasco,4,Centro,"700,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-82-07        ,8295,19/12/2007,19/12/2017,,"LAND-LS
OXIQ-LS                  ",
123,"SERES Servicios Especializados en el Medio Ambiente, S.A. de C.V. ","Av. Mario Brown Peralta No. 221 
Col. Atasta de Serra 
C.P. 86090, Villahermosa, Tab.
Tel.  01 (993) 351 54 88, 351 54 89, 351 5491
",27,Tabasco,4,Centro,"800,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-02-08        ,149,15/01/2008,15/01/2018,"TRANSFERENCIA DE AUTORIZACIÓN DE SAINT MARTIN CONSTRUCCIONES , SA de CV a  SERES SERVICIOS ESPECIALIZADOS EN EL MEDIO AMBIENTE, S.A. DE C.V.   Oficio DGGIMAR.710/002729 del   20  de abril  2011 ","OXIQ-LS
LAND-LS
OXIQ-FS","OXIQ-FS: 
RANCHERÍA LÁZARO CARDENAS, CENTRO, TAB."
124,"Construcción y Mantenimiento del Ambiente, SA de CV","Cerrada Alameda No 15-E, Col Miguel Hidalgo, CP 86126 Centro, Tab        Tel 01 (993) 3 54 54 01 ",27,Tabasco,4,Centro,"700,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-14-08        ,"001824
",24/03/2008,24/03/2018,,"PILA-LS
LAND-S
EXVA-S
BVAE-S",
125,"Construcciones y Comercializadora JEDIMAR, SA de CV","Carretera Río Viejo km 0,99 Altos s/n,  CP 86126 R/A Miguel Hidalgo, Centro, Tab     Tel 01 (993) 3800967",27,Tabasco,4,Centro,"2,100,000",Suelos contaminados con hidrocarburos ,27-V-28-08        ,"003884
",3/6/2008,3/6/2018,,"LAND-LS
LAND-S
OXIQ-LS",
126,"A Cubika Construcciones, SA de CV ","Paseo Tabasco No 412 Dpto 2 Col Centro, CP 86090, Villahermosa, Tabasco                  Tel   01(993) 312 05 31 ",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27- V-76-09          ,"006549
",18/08/2009,18/08/2019,,"OXIQ-LS 
LAND-LS",
127,"Polljmar, SA de CV ","Niños Héroes No 114-B, Col Atasta, CP 86100, Villahermosa, Tabasco                 Tel  01(993) 337 94 04 ",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27- V-87-09   ,"007509
",28/09/2009,28/09/2019,,"LAND-LS
OXIQ-LS
BVAE-S
EXVA-S
LAND-S",
128,Jorge Alberto Ramírez Cahuich ,"Cenzontle No 208, Fracc La Ceiba, CP 86189, Centro, Villahermosa, Tabasco   Tel/Fax  01(993) 160 00 62,                  351 08 58,    355 06 02",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27- V-96-09    ,"008113
",22/10/2009,22/10/2019,,"PILA-LS
LAND-LS",
129,"Remediation Solutions de México, SA de CV","Calle 1  Manzana 1 Lote 9,  Ranchería Anacleto Canabal, 1a Sección, CP 86103, Centro, Villahermosa, Tabasco 
Tel  01(993) 1609 751 ",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-97-09    ,"008286
",28/10/2009,28/10/2019,Se MODIFICA la Autorización No. 27-V-97-09               Oficio DGGIMAR.710/003260 del 16 de mayo  de 2011,"LAND-LS
OXIQ-LS
BVAE-S
EXVA-S
LAND-S
OTR1-LS
LAVS-LS",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
130,"Ecotec Ingeniería Ambiental, SA de CV","Matías Piedra No 111 casa 5 Fracc Oropeza 
CP 86035, Centro Villahermosa, Tabasco              Tel  01(993) 3520 788  
Fax  01(993) 3520 400                ",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-110-09    ,"009114
",4/12/2009,4/12/2019,,"OXIQ-LS
LAND-LS",
131,"RDC Corporativo, SA de CV","Calle Francisco González Bocanegra No 10-A Col Nuevo Progreso I y II CP 86570, Cárdenas, Tabasco Tel 01(937)3723299",27,Tabasco,2,Cárdenas,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-05-10,"00322
",22/01/2010,22/01/2020,,"OXIQ-LS
LAND-LS
LAVS-LS",
132,"CORES Ambiental, S.A. de C.V. ","Av. Circunvalación No. 5 Int. 1 
Col. Morelos 
C.P. 86370, Comalcalco, Tabasco 
Tel. 01(933) 33 461 59 
cores_ambiental@hotmail.com
",27,Tabasco,5,Comalcalco ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-28-10        ,1916,17/03/2010,17/03/2020,,LAND-LS,
133,"Petrologística Integral, S.A. de C.V.","Calle Andrés García No. 322-4 
Col. Primero de Mayo 
C.P. 86190, Villahermosa, Tabasco 
Tel. 01(993) 3157550 
cesar_figue@hotmail.com
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-48-10,3106,27/04/2010,27/04/2020,,"LAND-S
PILA-LS
LAND-LS 
LAVS-LS",
134,"Ambiental y Energía Racional, S.A. de C.V. ","Calle Zenzontle No. 104 Int 2 
Col. La Ceiba 
C.P. 86127, Centro, Villahermosa, Tabasco 
Tel. 01(993) 351 52 50, 351 99 76 
roman@operadoraintergrupo.com
",27,Tabasco,4,Centro ,,"•Suelos y materiales semejantes a suelos, contaminados con hidrocarburos. 
• hidrocarburos semi intemperizados e intemperizados, hidrocarburos líquidos emulsionados con agua y sólidos y sosas gastadas. 
","27-V-29-15
PRÓRROGA ",4694,2/6/2015,2/6/2020,"Se trasfirió la Autorización No.27-V-29-15 de Ambiental y Energía Recional S.A DE C.V a la razón social AMBYER S.A de C.V.
Oficio DGGIMAR.710/0001528 de fecha 17 de febrero de 2017","BVAE-S 
EXVA-S 
LAND-S 
OXIQ-LS 
LAND-LS 
LAVS-LS 
PILA-LS 
OXIQ-FS","OXIQ-FS: 
EN LAS INSTALACIONES  UBICADAS EN LA RANCHERIA ALVARADO (RANCHO COLIMA), SEGUNDA SECCION, CENTRO, TABASCO"
135,"Proyectos y Construcciones FRAMARCA, S.A. de C.V.","Golondrina No. 514 
Col. El Parque, Municipio de Centro 
C.P. 86096, Villahermosa, Tabasco 
Tel.  9932 54 70 29 
www.framarca@prodigy.net.mx
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-62-11,5508,17/08/2011,17/08/2021,,"LAND-S
PILA-LS
LAND-LS
OXIQ-LS
BVAE-S
EXVA-S
LAVS-LS",
136,"Servicios Generales Petroleros, S.A. de C.V.","Francisco González Bocanegra No. 10-B
Col. Nuevo Progreso 
C.P. 86529, Cárdenas, Tabasco  
Tel.  01(937) 372 32 99 
Fax  01(937) 372 88 40
taylorwell66@hotmail.com
",27,Tabasco,2,Cárdenas,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-74-11,6879,7/10/2011,7/10/2021,,"OTR1-LS
OXIQ-LS
LAVS-LS
LAND-LS",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
137,"Construlav del Sureste, S.A. de C.V. ","Carretera Municipal Villahermosa-Luis Gil Pérez Km. 3.2 
Ranchería Ixtacomitán, C.P.  86280 
Centro, Villahermosa, Tabasco 
Tel.  01(993) 354 64 36 
www.construlav.com.mx
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","27-V-33-12 
PRÓRROGA",5396,23/07/2012,23/07/2022,,"LAND-S
PILA-LS
LAND-LS
OXIQ-LS
LAVS-LS
BVAE-S
EXVA-S",
138,"Ecoservicios, Construcciones, y Suministros Industriales y Comerciales, S.A. de C.V.","Calle 4 No. 63 
Col. Tabasco 2000, C.P. 86035 
Centro, Villahermosa, Tabasco 
Tel.  (01) 9933 15 23 33
jaserna@ecoservs.com
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-51-12,9018,18/12/2012,18/12/2022,,"OTR1-LS
OXIQ-LS
LAND-S
LAND-LS
LAVS-LS
EXVA-S
BVAE-S",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
139,"Ecological Biodiversity, S.A. de C.V. ","Calle Cárdenas s/n Local 3H 
C.P. 86100, Col. Atasta
Centro, Villahermosa, Tabasco 
Tels. 01(993) 139 37 92
",27,Tabasco,4,Centro ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-05-13,1484,20/02/2013,20/02/2023,,"PILA-LS
EXVA-S
LAVS-LS
OXIQ-LS
BVAE-S",
140,"Global Petrol Services, S.A. de C.V. ","Av. Gregorio Méndez Magaña No. 1016 Altos
C.P. 86000, Col. Centro
Centro, Villahermosa, Tabasco 
Tels. 01(993) 312 75 10
raulguerrero1950@yahoo.com.mx
",27,Tabasco,4,Centro ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-07-13,1898,4/3/2013,4/3/2023,,"PILA-LS
LAND-LS
OXIQ-LS",
141,"Cerecyt, S.A. de C.V.","Acceso principal a Ranchería González 1a Sección a 750 m del entronque con carretera Coatzacoalcos-Villahermosa Km 157+000 
C.P. 86039, Centro, Villahermosa, Tabasco 
Tel./Fax (993) 380 2128 
cerecyt@yahoo.com.mx
armentaarteaga62@hotmail.com
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-12-13,4207,27/05/2013,27/05/2023,,"LAVS-LS
PILA-LS
LAVS-FS
PILA-FS  ","FS:
 RANCHERÍA GONZÁLEZ 1A SECC. CENTRO, TAB"
142,"Grupo Petrol, S.A de C.V.","Calle Cunduacan No. 99
Col. Sánchez Magallanes, C.P. 86160
Villahermosa, Centro, Tabasco
Tel. 01(993)315 27 96, 313 90 69
gpounido@hotmail.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-18-13,5629,22/07/2013,22/07/2023,,LAND-LS,
143,"Recicladora y Distribuidora del Sureste, S.A. de C.V.","Calle 26 No. 85
Col. Luis Gómez Zepeda
C.P. 96801, Tenosique, Tabasco
Tel. (934) 3420042, (933) 1342406
igabriel@redisur.com.mx",27,Tabasco,17,Tenosique,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-22-13,5632,22/07/2013,22/07/2023,,"PILA-S
LAND-S
EXVA-S
BVAE-S
PILA-LS
LAND-LS
OXIQ-LS
NEUQ-LS
LAVS-LS",
144,"RIK Soluciones, S.A. DE C.V.","Carretera Federal Cárdenas-Villahermosa Km. 160+500 
Ra. Lázaro Cárdenas
C.P. 86280, Centro, Tabasco
Tel/Fax 01(993) 314 33 69
riksoluciones@hotmail.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-16-13,5630,22/07/2013,22/07/2023,,"LAND-LS
OXIQ-LS",
145,"MARACO Construcciones, S.A. de C.V.","Av. 27 de febrero No. 2214
Col. Atasta
C.P: 86061, Villahermosa, Centro, Tabasco
Tel. 01(993) 161 5155
maraco_construcciones@hotmail.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-08-14,783,6/2/2014,6/2/2024,,"EXVA-S
BVAE-S
OXIQ-LS
OTR1-LS
LAVS-LS
LAND-LS",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
146,"Servicios Industriales Fénix, S.A. de C.V.","Calle 9 Manzana 15 Lote 26
Fracc. Santa Elena
C.P. 86126, Villahermosa, Centro, Tabasco
Tel. 01(921)  178 2277
lrivera@serviciosfenix.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-22-14,2053,12/3/2014,12/3/2024,,"OXIQ-LS
PILA-LS",
147,"Mantenimiento Integral del Sur, S.A. de C.V.","Calle 2 Manzana 2 Lote 2 
R/a Anacketo Canabal 1ra. Sección 
C.P. 86103, Villahermosa, Centro, Tabasco
Tel. 01(422) 337 9440, 337 9948 
missa_cv@hotmail.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-52-14 ,8183,12/9/2014,12/9/2024,,"PILA-LS
LAND-LS
OXIQ-LS
LAVS-LS
LAND-S
BVAE-S
EXVA-S
",
148,"Felco Energy Solution, S.A. de C.V.","Adolfo Ruiz Cortines No. 917 local 5
Col. Centro
C.P. 86000 Villahermosa, Tabasco
Tel. 993 1311850
fsoler@felco-inc.com",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-61-14,10841,8/12/2014,8/12/2024,,"PILA-LS
LAND-LS
OXIQ-LS
LAVS-LS
LAND-S
BVAE-S
EXVA-S
",
149,"Corporativo de  Servicios Ambientales, S.A. de C.V.","Pijije No. 101 Local 4 
Fracc. La Choca, Tabasco 2000  
C.P. 86035, Villahermosa, Tabasco  
Tel.  01(993) 316 66 62 
Fax  01(993) 316 66 63
africa@corsa.com.mx, amora@corsa.com.mx
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-26-15,4506,22/05/2015,22/05/2025,,"PILA-LS
LAND-LS 
",
150,"Servicios Industriales MAYPA, S.A. de C.V.","Comalcalco No. 119
Fracc. Prados de Villahermosa
C.P. 86030, Villahermosa, Tabasco
Tel. (993) 315 41 18 y 312 49 51 
maypa11@hotmail.com 
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-27-15,4692,1/6/2015,1/6/2025,,"LAND-LS
OXIQ-LS
OTR1-LS 
",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
151,Consultoría Ambiental e Ingeniería S.A. de C.V.,"Campo Tamulte 126,
Fraccionamiento Carrizal, 
86038, Villahermosa, Tabasco.
Tel. 01-(993)-3547613
rcarmona@caisagroup.mx
",27,Tabasco,4,Centro,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",27-V-03-16,731,3/2/2016,3/2/2026,,"LAND-S
BVAE-S
EXVA-S
PILA-LS
LAND-LS
OXIQ-LS
LAVS-LS 
",
152,"Geo Estratos, S.A. de C.V.","Calle 7 # 205-1   Col. Jardín 20 de Noviembre, C.P. 89440    Cd. Madero, Tamps   tel  01 (833) 210 51 47 jlgonzalea@geo-estratos.com 
",28,Tamaulipas,9,Ciudad Madero,"1,430,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos; suelos contaminados con hidróxido de sodio o con amoniaco","28-V-81-07 
28-V-23-10","001806
12 marzo 2010 ",19/12/2007,19/12/2017,,"LAND-LS 
LAND-S
NEUQ-LS
BVAE-S
LAND-FS
OXIQ-LS
PILA-LS","LAND-FS:
 EN LOS CENTROS DE TRATAMIENTO UBICADOS EN:
 1) KM 05 + 600 DE LA CARRETERA EL CHOCOLATE, ALTAMIRA, TAMPS Y
 2) KM. 25 CARRETERA ESTACION MANUEL, TAMAULIPAS-EBANO-SLP, MUNICIPIO DE GONZALEZ, TAMPS"
153,"Multiservicios Industriales y Ecológicos, SA de CV","Calle Tercera No 214, Col Emiliano Carranza,  CP 89549, Cd Madero, Tamaulipas         Tel 01 (833)269 01 99",28,Tamaulipas,9,Ciudad Madero,"560,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-02-09,822,4/2/2009,4/2/2019,,"OXIQ-LS
LAND-S",
154,"Green Zone, SA de CV","Calle Oaxaca No 504, Col Unidad Nacional CP, 89410, Ciudad Madero, Tamaulipas
Tel  01(833) 210 62 49  contacto.greenzone@gmail.com",28,Tamaulipas,9,Ciudad Madero,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-60-09         ,"005492
",9/7/2009,9/7/2019,"Se MODIFICA la Autorización No. 28-V-60-09 ,  Oficio DGGIMAR.710/000157 del 14 de enero de 2011","LAND-S
LAND-LS
OXIQ-LS
PILA-LS",
155,"GMG Enviroservice, S.C.","Carr. Tampico-Mante km. 25 s/n
C.P.89603, Altamira, Tamaulipas  
Tel./ Fax  01(833) 264 15 21 
enviromx@yahoo.es
",28,Tamaulipas,3,Altamira,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-78-10,4701,23/06/2010,23/06/2020,,"LAND-LS
PILA-LS
OXIQ-LS
LAND-S
BVAE-S
EXVA-S",
156,"Petroservicios Ambientales de México, S.A. de C.V.","Carretera a San Fernando  Km. 130  s/n  
C.P. 88770, Col. Del Maestro 
Reynosa, Tamaulipas
Tel.  01(993) 3 50 64 80 
Mendozaruiz@hotmail.com
",28,Tamaulipas,32,Reynosa ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-46-11 ,4410,29/06/2011,29/06/2021,,"OXIQ-LS
LAVS-LS
LAND-LS
LAND-S
EXVA-S
BVAE-S
OTR1-LS",OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA
157,"Construcción y Servicios Integrales SIGMA, S.A. de C.V. ","Vicente Guerrero No. 307
Col. Laguna de la Puerta 
C.P. 89310, Tampico, Tamaulipas 
Tel. 01(833) 226 00 54, 226 43 06
abelrodba@hotmail.com
",28,Tamaulipas,38,Tampico ,"380,000","Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-52-11 ,5037,22/07/2011,22/07/2021,Se MODIFICA la Autorización No. 28-V-52-11        Oficio DGGIMAR.710/006647 del 28 de septiembre de 2011  y    Oficio DGGIMAR.710/001983 del 8 de marzo de 2011   ,"OXIQ-LS
PILA-LS
LAND-LS
LAND-S
EXVA-S
BVAE-S
DESO-FS","DESO-FS:
EN LAS INSTALACIONES UBICADAS EN CONGREGACION CACALILAO LOTE NO. 5, CARRETERA MORALILLO-EBANO (TAMPICO-VALLES) KM 87.5 PANUCO, VER.           "
158,"Centro de Proyectos Tamaulipas, A.C.","Lateral Sur del Canal Rodhe  s/n 
Col. Arcoiris 
C.P. 88779, Reynosa, Tamaulipas 
Tel./Fax 01(899) 921 33 00 ext 8263  
jgomez@uat.edu.mx 
",28,Tamaulipas,32,Reynosa,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-36-10,1778,5/3/2012,5/3/2022,"Transferencia de Autorización de Centro de Proyectos Estratégicos para el Desarrollo Sustentable, A.C. a Centro de Proyectos Tamaulipas, A.C.                Oficio DGGIMAR.710/001778 del 5 de marzo de 2012","PILA-LS
LAND-S
EXVA-S
BVAE-S",
159,"Servicios Ecológicos VIDSA, S.A. de C.V. ","Calle Pedro Hugo González No. 1005 
Col. Altamira, C.P. 88630 
Reynosa, Tamaulipas
Tels. 01(899) 922 1617 
gerardo.gonzález@vidsa.com.mx
",28,Tamaulipas,32,Reynosa,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-42-12,6564,5/9/2012,5/9/2022,,OXIQ-LS,
160,"Golfo Verde, S.A. de C.V. ","Calle Pedro Hugo González No. 1005 
Col. Altamira, C.P. 88630 
Reynosa, Tamaulipas
Tels. 01(899) 922 1617 
gerardo.gonzález@vidsa.com.mx
",28,Tamaulipas,32,Reynosa,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",28-V-48-12,7780,26/10/2012,26/10/2022,,OXIQ-LS,
