No.,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Estado,Teléfono,Tipo de Residuo,No. de Autorización,Vigencia Inicio,Vigencia Término,Capacidad (ton/año)
1,"Tratamiento Ecológico de Residuos, S.A. de C.V.","Calzada Vista al Mar No. 1542, Col. Vista al Mar",Ensenada,1,Baja California,2,(55) 5026 7000,"Agua contaminada con hidrocarburos (aguas con aceites, líquidos acuosos contamindos de diferentes procesos productivos; lodos de la separación primaria de aceite/agua/sólidos; lodo generado por separación gravitacional de aceite/agua/sólidos durante el almacenamiento o tratamiento de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento, lodos generados de aguas de enfriamiento aceitosas y lodos generados en unidades de tratamientos biológicos; aguas de enfriamiento aceitosas; lodos y natas generados en unidades de tratamientos biológicos)",02-IV-67-15,21/12/2015,21/12/2025,"36,000"
2,"Guaycan Químicos y Petrolíferos, S.A. de C.V.","Carretera a San Felipe Km. 13.5, Col. 4 División 2 Delegación Cerro Prieto C.P. 21600",Mexicali,2,Baja California,2,(686) 592 93 12,"Reciclaje de residuos peligrosos, consistentes en hidrocarburos, keroseno, nafta, aceite gastado, diesel y combustóleo usados, para la formulación de combustible alterno.",2-IV-52-10,25/06/2010,25/06/2020,"5,900"
3,"Ing Servicios Profesionales, S.A. de C.V.","Blvd. Anáhuac No. 423, Centro Cívico y Comercial, 21000",Mexicali,2,Baja California ,2,(686) 564 0808,"Refrigerantes gastados particularmente Tricloromonofluorometano, Diclorodifluorometano conocidos comercialmente como R-11 y R-12.",2-IV-10-13,15/05/2013,15/05/2023,40
4,"Technologies Displays Mexicana, S.A. de C.V.","Calzada Robledo Industrial No. 460, Desarrollo Industrial del Colorado, Lote 1 Manzana 4.",Mexicali,2,Baja California,2,(686) 559 51 00                                                                                                                                                                            Ext. 5341,Reciclaje de tubos de rayos catódicos y vidrío con plomo a partir de monitores y televisores de desecho.,2-IV-22-10,27/04/2010,27/04/2020,"108,000"
5,"Industria Química de Aceites y Combustibles, S. de R.L.","Av. Ejercito Libertador s/n, Lote 15, Col. Anexo Emiliano Zapata, Delegación González Ortega",Mexicali,2,Baja California,2,(686) 132  70 53,Aceites lubricantes usados,2-IV-38-16,16/06/2016,16/06/2026,"1,560"
6,"Recicladora Temarry de México, S.A. de C.V.","Carretera Federal No. 2 Mexicali-Tijuana Km 121, Col. San Pablo",Tecate,3,Baja California,2,(665) 655 14 62,"Solventes y disolventes orgánicos gastados: solventes aromáticos (tolueno, xileno, benceno, etil benceno, m-cresol) y solventes alifáticos e hidrocarburos (nafta, n-pentano, n-hexano, n-heptano, espiritus minerales, VM&P nafta, solventes stoddard, keroseno (JP)); aceites usados; inflamables con aminas gastadas; hidrocarburos y combustibles gastados; alcoholes usados (metanol, isopropanol, etanol, alcohol n-butílico, alcohol isobutílico, ciclohexanol, n-hexanol); cetonas usadas (acetonas, metil etil cetona, dietil cetona, metil n-propil cetona, cetona); polioles y ésteres usados (glicol, etilen glicol, propilen glicol, etil glicol monobutil éter, etilen glicol monoetil éter, etilen glicol monometil éter); ésteres (acetatos de metilo, acetato de etilo, acetato de isobutilo, acetato de n-butilo, amil acetato, proplanato de n-butilo); terpenos usados (dipentano, turpentina, espíritus de turpentina); resinas y polímeros usados; pinturas usadas; sólidos caducos de la industria farmacéutica; soluciones acuosas (desechos/residuos de aminas, tetra hidrofuranos y mezcla de solventes, aceites, hidrocarburos, refrigerantes, anticongelante (polioles, glicoles y esteres)); sólidos impregnados con solventes orgánicos (desechos/adhesivos y derivados con ácido metacrillato, metil metacrilato, 2,6 di-butil-p-cresol, sílica amorfa, inflamables con trazas de residuos con cloruro de metilo, ácido trifluroacético, dimetil formamida, de resina epóxica y oxiranos, de resina poliuretano, de residuos de pintura de látex, de dos fases: sólido-gel de sales de grinnard) y mezcla de sólidos inflamables (trapos, borra, madera, sólidos de pintura, papel, equipo de protección personal, cartón, resinas, contaminados con solventes orgánicos tales como alcoholes, cetonas, hidrocarburos, aromáticos, alifáticos, naftas, esteres y terpenos, así como sólidos de pintura, barnices, lacas y selladores base solventes).",02-IV-59-14 (Prórroga),24/10/2014,24/10/2019,"40,978"
7,"Baja Wastewater Solution, S. de R.L. de C.V.","Eusebio Kino No. 113 Fracc. Garita de Otay, C.P. 22430",Tijuana,4,Baja California,2,(664) 647 50 20,"Sustancias y/o soluciones acuosas usadas y residuales (ácidos y alcalinos), con caracteríticas de corrosividad, reactividad, inflamabilidad y toxicidad, derivados de procesos industriales y de servicio por el manejo de materiales, sustancias y materiales peligroso, soluciones residuales contaminadas con goma, silicón, aceites, grasas y pinturas, y soluciones contaminadas con fundante (flux) en operaciones de limpieza de circuitos electrónicos.",2-IV-55-11,28/07/2011,28/07/2021,"4,552"
8,"Grupo Ambiental del Noroeste, S. de R.L. de C.V.","Calle Maquiladoras No. 3458-B, Ciudad Industrial Sección Dorada",Tijuana,4,Baja California,2,(664) 607 28 61,"Solventes usados (thiner, alcohol, acetona, metil etil cetona, halogenados y no halogenados), hidrocarburos usados (aceites lubricantes gastados, diesel contaminado y combustóleo) y formulación de combustible alterno sólido (blending)",02-IV-36-08,09/07/2008,09/07/2018,"27,438"
9,"Industrias P. Kay de México, S.A. de C.V.","Calle de la Brea No. 3, Meseta del Chema, Col. Monte de los Olivos, C.P. 22225",Tijuana,4,Baja California,2,(664) 625 83 65,Soldadura de estaño/plomo con diferentes aleaciones o soldaduras de estaño libre de plomo en diferentes aleaciones a partir de óxidos metálicos de soldaduras de residuos electrónicos y residuos de plomo provenientes de terceros.,02-IV-70-14,04/12/2014,04/12/2024,"4,000"
10,"Lavandería Industrial Maypa, S.A. de C.V.","Calle Mar Bermejo No. 22, Ciudad Industrial, Garita de Otay, C.P. 22509 ",Tijuana,4,Baja California,2,(664) 640 50 54,Lámparas fluorescentes/bulbos y de vapor de mercurio.,02-IV-30-14,02/05/2014,02/05/2024,480
11,"Lavandería Industrial Maypa, S.A. de C.V.","Calle Mar Bermejo No. 22, Ciudad Industrial, Garita de Otay, C.P. 22509 ",Tijuana,4,Baja California,2,(664) 640 50 54,Aceites gastados e hidrocarburos residuales.,02-IV-31-14,02/05/2014,02/05/2024,"3,960"
12,"Nueva Exportadora Latina de México, S.A. de C.V.","Km 153.5 Carretera Mexicali-Tijuana, Poblado El Florido, C.P. 22237",Tijuana,4,Baja California,2,(664) 626 80 20,Elaboración de combustible alterno a partir de aceite usado.,02-IV-65-14 (Prórroga),31/10/2014,31/10/2019,"7,262.40"
13,"Óxidos y Pigmentos Mexicanos, S.A. de C.V.","Calle 2 Oriente No. 137, Cd. Industrial Nva. Tijuana C.P. 22500",Tijuana,4,Baja California,2,(664) 647 22 33,Reciclaje de plomo y óxido de plomo a partir de baterías automotrices e industriales usadas.,02-IV-38-13,19/12/2013,19/12/2018,"20,750"
14,"Prodyservma, S.A. de C.V.","Lote No. 4 de las fracciones XIX y XX del Rancho San Isidro Ajojol, Valle Redondo.",Tijuana,4,Baja California,2,(664) 2556 4774,"Líquidos y lodos acuosos aceitosos; aguas residuales de procesos industriales con sólidos suspendidos; líquidos y lodos sin tratar de tanques de almacenamiento con substancias tóxicas; residuos de aceites lubricantes gastados; aceites solubles e insolubles residuales de las operaciones industriales, lodos provenientes de las operaciones del desengrasado, aceites gastados de corte y enfriamiento de operaciones de talleres de maquinado, solventes no halogenados gastados, residuos del lavado con solventes, residuos ácidos o alcalinos, lodos y líquidos de purgas de ácido; residuos de las operaciones de limpieza, alcalina o ácida; pinturas base agua y solventes provenientes de las operaciones de pintado y limpieza; líquidos y lodos oleosos o de alquitrán de tanques; fondos de tanques de almacenamiento; aceites aromáticos, nafténicos; ácido acético, clorhídrico, sulfúrico; residuos y lixiviados con metales tóxicos; lodos de plantas de tratamiento y lodos residuales provenientes de procesos industriales.",02-IV-78-14,19/12/2014,19/12/2024,"80,000"
15,"*Solver, S.A. de C.V.","Meseta del Chema No. 2500, Col. Monte de los Olivos",Tijuana,4,Baja California,2,(664) 625 93 87,"Soluciones acuosas ácidas y alcalinas, solventes sucios, aceites contaminados y residuos de pintura",2-4-PS-V-01-93,05/01/1994,Indefinida,"134,515"
16,"Servicios Ambientales Mexicanos, S.A. de C.V.","Sebastián Vizcaíno No. 420 y 422, Fraccionamiento Garita de Otay, 22430",Tijuana,4,Baja California,2,(664)624 4455,"Aserrín, plástico, equipo de protección personal (overoles, guantes, mascarillas, mandiles), toallas, algodón, papel, cartón, filtros de carbón y otros sin metales, trapos, esponjas impregnados con solventes; pinturas, alcoholes, resinas, ciclohexanona, etil metil cetona, rebaba y/o pasta de soldadura libre de plomo, tintas, adhesivos, silicones, hidrocarburos, polvo de lacas, grasa y aceite.",02-IV-45-16,26/08/2016,26/08/2026,"3,000"
17,"Industrial de Grasas y Derivados, S.A. de C.V.","Km. 36 Carretera Libre Tijuana-Tecate, El Carricito",Tijuana,4,Baja California,2,(664) 621 74 10,"Reciclaje de aceite lubricante usado, generado en actividades industriales, para su posterior utilización como combustible alterno",02-IV-55-16,26/10/2016,26/10/2026,"2,400"
18,"Maquilas Químicas Industriales, S.A. de C.V.","Libramiento José López Portillo Km. 10.8 B, Lote 4, Fraccionamiento Presas de las Casas",Arteaga,4, Coahuila,5,(844) 417 42 90,"Solventes gastados (acetato de etilo, acetato de butilo, alcohol isopropilico, butanol, metanol, etanol, tolueno, metil isobutil cetona, xilol, thiner, acetona, trietil amina), ciclohexano, terbutanol, gas nafta, aromina 100, aromina 150, aromina 200, 2 etilhexanol, pm acetato, acrilato de metilo, acrilato de etilo, acrilato de butilo, alcohol diacetona, hexilenglicol, monoetilenglicol, butilcellosolve, propilenglicol, dimetilacetamida, benceno, acetonitrilo, dimetilformamida, morfolina, etilendiamina, tetrahidrofurano, metilterbutiléter, metilisobutilcabinol, diisobutilcetona, piridina, alcohol amílico, éter etílico, éter isopropílico, clorobenceno, metilpropilcetona, amilmetilcetona, aminas terciarias (diisopropilmetilamina y diisopropiletilamina), ácidos orgánicos gastados (ácido acético, ácido piválico, ácido p-toluensulfónico y anhídrido acético), así como aceites gastados.",5-IV-06-08,26/05/2008,26/05/2018,"11,295"
19,"Sociedad Ecológica Mexicana del Norte, S.A. de C.V.",Predio junto al Ejido Noria de la Sabina,General Cepeda,11,Coahuila,5,(844) 450 13 30,"Aceite con agua o emulsionado; aceite gastado de corte y enfriamiento; filtro de aceite automotriz desechados; filtro de aire descartados y desechados en sistemas de ventilación industrial e institucional; fluidos de transferencia de calor gastados y/o contaminados; líquidos desecantes; líquidos y lodos a base de hidrocarburos susceptibles a valorización como combustible alterno; líquidos y semisólidos con hidrocarburos olefínicos; lodos aceitosos; lodos de procesos de recuperación de solventes; lodos del fondo de destilación resultantes del reciclaje de solventes; lodos y desechos resultantes del reciclaje de solventes; lodos y desechos resultantes del reciclaje de aceites lubricantes; natas con solventes; oligomeros; pintura base solvente seca fuera de especificación y/o caducas; pintura base agua fuera de especificación y/o caduca; polímeros no biodegradables; productos polimerizados caducos o fuera de especificaciones de la industria de los plásticos; productos polimerizados caducos o fuera de especificaciones de la industria de pegamentos y pinturas; residuos con base de hidrocarburos alifáticos y aromáticos; residuos de productos para preservación de madera; solventes contaminados; trapos contaminados con pintura; trapos, estopas, toallas, papel, cartón, filtros de papel, ropa de trabajo contaminados con aceites y grasas provenientes de fábricas y talleres de servicio; sólidos textiles de desecho, uniformes, toallas, trajes tyvek, contaminados con residuos provenientes de la industria farmacéutica; sólidos textiles de desecho, uniformes, toallas, trajes tyvek, contaminados con residuos provenientes de la industria química de la transformación, envasados en recipientes metálicos sellados; licores gastados del proceso de decapado de lámina y placa en la industria del hierro y el acero; lodos contaminados con hidrocarburos; lámparas fluorescentes; residuos y materiales provenientes de la industria automotrices, de maquila, de plantas armadoras, de la industria en general y de dependencias gubernamentales para su destrucción fiscal; utilización de residuos ácidos y alcalinos para su co-procesamiento como medio de neutralización; envases y contenedores metálicos y plásticos de diferentes tamaños que contuvieron residuos peligrosos",05-IV-39-16,20/06/2016,20/06/2026,"236,500"
20,"Minera del Norte, S.A. de C.V. (Unidad Mimosa)","Calle Camino Real Palaú-Santa María Km. 6, Palaú.",Múzquiz,20,Coahuila,5,(864) 611 66 00                                                                           Ext. 6733,Reciclaje de aceites usados automotriz e industrial que se generan del mantenimiento de maquinaria y equipo del proceso de minado.,5-IV-05-11,14/02/2011,14/02/2021,"345,000"
