i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
126,ENERGY JH S.A. DE C.V.,LERDO No. 5 BODEGA 3,SANTA CRUZ DE ARRIBA,TEXCOCO,56130,MAXICO,12NV150990031,09/Jan/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLA Y ENVASADO DE FERTILIZANTES LIQUIDOS.
127,ENVASES Y EMPAQUES ANAHUAC S.A DE C.V,ESCAPE  NO. 5-A,FRACC. INDUSTRIAL ALCE BLANCO,NAUCALPAN,,MAXICO,02P150001,18/Nov/2002,ESTABLECIMIENTOS QUE MEZCLAN INSECTICIDAS Y PLAGUICIDAS. EXLCUSIVAMENTE PARA PRODUCTOS REGISTRADOS POR EL TITULAR DE LA LICENCIA SANITARIA O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DEL PRODUCTO ANTE LA CICOPLAFEST,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
128,ENVATEC S.A. DE C.V.,PROL. MIGUEL ALLENDE  S/N,BARRIO SANTIAGUITO,TULTITLAN,54900,MAXICO,03FP151090005,09/Jul/2003,"FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE PLAGUICIDAS LIQUIDOS Y SOLIDOS
129,ENVATEK S.A. DE C.V.,CARRETERA PANAMERICANA KM 3.1,,SALAMANCA,36730,GUANAJUATO,05FEP110270012,23/Sep/2005,"FORMULACION, ENVASADO DE PLAGUICIDAS.",ENVASADO DE PLAGUICIDAS SOLIDOS
130,EQUINOX S.A. DE C.V.,PONIENTE 4 No. 133,CD. INDUSTRIAL,CELAYA,38010,GUANAJUATO,12PNV110460033,19/Jan/2015,"FABRICACIAN DE PESTICIDAS Y OTROS AGROQUAMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, INSECTICIDAS-ACARICIDAS, FUNGICIDAS-
BACTERICIDAS, FUNGICIDAS, HERBICIDAS, NEMATICIDAS FUMIGANTES, LIQUIDOS Y SOLIDOS
FORMULACION DE FERTILIZANTES ,REGULADORES DE CRECIMIENTO, INOCULANTES, MEJORADORES DE SUELO, HUMECTANTES, LIQUIDOS Y SOLIDOS"
131,ERACHEM MEXICO S.A. DE C.V.,DOM. CONOCIDO CARR. TAMPICO-VALLES KM 28,TAMOS,PANUCO,92018,VERACRUZ,13NV3012324,03/Oct/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES INORGANICOS SALIDOS
132,"ERGO CORPORACION, S.A. DE C.V..",PRIMERO DE MAYO No. 11-B,ALFREDO V. BONFIL,ATIZAPAN DE ZARAGOZA,52940,MEXICO,15 NV 15 013 16,01/Jul/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION DE FERTILIZANTES, REGULADORES DE CRECIMIENTO, MEJORADORES DE SUELO E INOCULANTES LAQUIDOS Y SALIDOS."
133,ESPECIALIDADES AGRICOLAS E INDUSTRIALES S.A. DE C.V.,MOCTEZUMA 101,EL CARRIZO,TALA,45300,JALISCO,16PNV1408310,25/Apr/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES Y MEJORADORES DE SUELO ORGANICOS SALIDOS Y LAQUIDOS.
134,ESPECIALIDADES AGROPECUARIAS EGLOFF S. DE P.R. DE R.L.,HIDALGO No. 102-A,LA FAMA,SANTA CATARINA,66100,NUEVO LEON,11NV190480020,29/Mar/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
135,ESPECIALIDADES QUIMICAS E  INDUSTRIALES S.A. DE C.V.,PROLONGACION SAN ANTONIO NO. 621,GUADALUPANA,TLAQUEPAQUE,45501,JALISCO,06FNV140980001,12/Jan/2006,FORMULACION DE NUTRIENTES VEGETALES,"ORGANOMINERALES), MEJORADORES DE SUELO, INOCULANTES Y REGULADORES DE CRECIMIENTO LAQUIDOS Y SALIDOS
FORMULACIAN DE FUNGICIDAS E INSECTICIDAS, QUAMICOS Y BOTANICOS LAQUIDOS
FORMULACIAN DE HERBICIDAS LAQUIDOS"
136,ESQUIVEL LEON OSCAR,PRIVADA DEL ORO NO. 429,5 DE MAYO,GUADALAJARA,44940,JALISCO,05FNV140390002,10/Mar/2005,FORMULADORA DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES (LIQUIDOS)
137,EUROCHEM AGRO MEXICO S.A. DE C.V.,BLVD. DE LOS RIOS No. 5310,PUERTO INDUSTRIAL,ALTAMIRA,89603,TAMAULIPAS,11NV280030009,07/May/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION Y ENVASADO DE FERTILIZANTE SOLIDOS
138,EXCELENCIA EN SOLUCIONES TECNICAS S.A. DE C.V.,CAMINO REAL A SAN ISIDRO Km. 4.5,S/C,TALA,45340,JALISCO,12NV140830026,25/Oct/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS.
139,EXIMGRO S.A,ARROZ No 441,FRACC. INDUSTRIAL SANTA ISABEL,IZTAPALAPA,09820,DISTRITO FEDERAL,94089,,"FABRICACION, DISTRIBUCION, IMPORTACION, EXPORTACION Y COMPRAVENTA DE AGROQUIMICOS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
140,FABRICA DE INSECTICIDAS MISION S.A. DE C.V.,PROL. GOBERNADOR CURIEL NO. 100,LOMAS DEL CUATRO,TLAQUEPAQUE,44990,JALISCO,94067,,FORMULACION Y COMPRAVENTA DE AGROQUIMICOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
141,FABRICA DE SULFATO EL AGUILA S.A. DE C.V.,KM 17.5 CARRETERA GUADALAJARA-CHAPALA 8100,POTRERO EL LLANO,TLAJOMULCO DE ZUAIGA,45640,JALISCO,05FNV140970005,22/Apr/2005,FABRICACION DE NUTRIENTES VEGETALES,FABRICACION DE SULFATO DE COBRE PENTAHIDRATADO (FERTIAZUL)
142,FABRICACIONES E INNOVACIONES TECNOLOGICAS ABONASA S.C. DE R.L. DE C.V.,CALLE NEXTIPAC NO. 9,COLEGIO DEL AIRE,ZAPOPAN,45215,JALISCO,15NV1412011,28/Apr/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FERTILIZANTES Y MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS
143,"FABRIHARINAS DE MAIZ INTEGRAL, S.A. DE C.V.",CARRETERA POZA RICA A PAPANTLA KM. 12,MIGUEL HIDALGO,COATZINTLA,93160,VERACRUZ,15P3004021,26/Oct/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FABRICACIAN DE HERBICIDAS A BASE DE UREA, LIQUIDOS."
144,FARMACIA AGROQUIMICA DE MEXICO S.A. DE C.V.,BOULEVARD JAIME BENAVIDES POMPA No. 645,DEL VALLE 2DO. SECTOR,RAMOS ARIZPE,25900,COAHUILA,05FPNV050270004,21/Jul/2005,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES,PLAGUICIDAS Y NUTRIENTES VEGETALES LIQUIDOS Y SOLIDOS
145,FARMATEC S.A. DE C.V.,SILVERIO GARCIA NO. 1436,QUINTA VELARDE,GUADALAJARA,,JALISCO,2000005,,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
146,FAX  S.A. DE C.V.,AV. CONTROL S/N,ZONA INDUSTRIAL,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,94274,,FORMULACION DE AGROQUIMICOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
147,FERMENTACIONES MEXICANAS S.A. DE C.V.,AVENIDA JUAREZ NO. 11,POTRERILLO,IXTACZOQUITLAN,94450,VERACRUZ,13NV3008517,16/Jul/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"MEJORADORES DE SUELO ORGANICOS, FERTILIZANTES ORGANICOS, INOCULANTES (LIQUIDOS)"
148,FERMIL S.A. DE C.V.,FRANCISCO JAVIER MINA MZ. 138 LOTE 1930,EJIDOS DE SANTA MARIA AZTAHUACAN,IZTAPALAPA,09570,DISTRITO FEDERAL,09NV090090012,13/Sep/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
149,FERQUIAGRO S.A. DE C.V.,CARRETERA RINCON DE ROMOS A TEPEZALA KM 0.5,S/C,RINCON DE ROMOS,20400,AGUASCALIENTES,16NV0100712,09/May/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
150,FERRETERIA RIPOLL HERMANOS S.A. DE C.V.,NORMALISTAS No. 1357,COLINAS DE LA NORMAL,GUADALAJARA,44290,JALISCO,09P140390015,27/Mar/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION Y ENVASADO DE RODENTICIDAS SOLIDOS
151,FERTIGRO AGROPRODUCTS S. A. DE C. V.,ANTIGUO CAMINO A TLAJOMULCO NO. 36,STA. CRUZ DE LAS FLORES,TLAJOMULCO DE ZUAIGA,45640,JALISCO,06FNV140970004,18/Aug/2006,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS
152,FERTILIZA S. A. DE C. V.,CARR. PANAMERICANA KM 286.5,2DA FRACCION CRESPO,CELAYA,38110,GUANAJUATO,06FNV110070015,07/Aug/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS Y SOLIDOS
153,FERTILIZANTE NATURAL OBTENIDO POR LOMBRICOMPOSTEO S.A DE C.V.,DOM. CONOCIDO LA NORIA,EXHACIENDA SAN ANTONIO ALCHICHICA,TEPEYAHUALCO DE HIDALGO,73996,PUEBLA,07NV211700006,18/Sep/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS
154,FERTILIZANTES DEL GOLFO DE VERACRUZ S.A. DE C.V.,JUSTO SIERRA No. 19 (ESTE),LAS VIGAS DE RAMAREZ,LAS VIGAS DE RAMAREZ,91330,VERACRUZ,14NV3013219,15/Oct/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES QUAMICOS SOLIDOS.
155,FERTILIZANTES E INSECTICIDAS MISION S.A. DE C.V.,KM 42 CARRETERA TAMPICO-MANTE,PINITOS,ALTAMIRA,,TAMAULIPAS,94155,,FORMULACION Y COMERCIALIZACION DE PLAGUICIDAS Y FERTILIZANTES,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
156,FERTILIZANTES E INSUMOS AGRICOLAS S.A. DE C.V.,CARRETERA A EL DORADO SUR 7490,CAMPO EL DIEZ,CULIACAN,80396,SINALOA,13PNV2500635,19/Dec/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACIAN DE INSECTICIDAS, ACARICIDAS, NEMATICIDAS, FUNGICIDAS,
HERBICIDAS
INOCULANTES, MEJORADORES DE SUELO, REGULADORES DE CRECIMIENTO, FERTILIZANTES DE ORIGEN QUAMICO, BOTANICO Y BIOLAGICO LAQUIDOS Y SALIDOS"
157,FERTILIZANTES ECOLOGICOS DE MEXICO S.A. DE C.V.,KM 1619.5  CARRETERA INTERNACIONAL MEXICO- NOGALES,ZONA INDUSTRIAL,AHOME,81255,SINALOA,07NV250010013,07/Dec/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES LIQUIDOS
158,FERTILIZANTES GOMEZ S.A. DE C.V.,CARRETERA TECOMAN-CERRO DE ORTEGA Km. 1.5,CENTRO,TECOMAN,28100,COLIMA,13NV0600901,11/Jan/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),ENVASADO DE FERTILIZANTES SALIDOS.
159,FERTILIZANTES MANUFACTURADOS DE MEXICO S. DE R.L. DE C.V.,CALDERA No. 2094,ALAMO INDUSTRIAL,GUADALAJARA,44490,JALISCO,12NV140390027,21/Mar/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES SOLIDOS.
160,FERTILIZANTES TECNIFICADOS DE ZAPOPAN S.A. DE C.V.,MELCHOR OCAMPO No. 558,CENTRO,ZAPOPAN,45100,JALISCO,14NV1412023,31/Oct/2014,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES QUIMICOS GRANULADOS
161,FERTILIZANTES TEPEYAC S.A. DE C.V.  (PLANTA CULIACAN),KM 9.5 CARRETERA CULIACAN-EL DORADO,ZONA INDUSTRIAL EL QUEMADITO,CULIACAN,,SINALOA,05FNV250060007,08/Sep/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS Y SOLIDOS
162,FERTILIZANTES TEPEYAC S.A. DE C.V. (SUCURSAL NAVOJOA),CARRETERA INTERNACIONAL No. 15 Km. 1780,ZONA INDUSTRIAL,NAVOJOA,85800,SONORA,13NV2604229,24/Oct/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN DE FERTILIZANTES QUAMICOS LAQUIDOS, MEZCLAS FASICAS DE FERTILIZANTES QUAMICOS SALIDOS."
163,FERTILIZANTES TEPEYAC S.A. DE C.V. (SUCURSAL PARQUE INDUSTRIAL OBREGON),BLVD. LAS TORRES S/N,PARQUE INDUSTRIAL,CAJEME,85065,SONORA,11NV260180004,13/Dec/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLA Y ENVASADO DE FERTILIZANTES SALIDOS.
164,FERTILIZANTES TEPEYAC S.A. DE C.V. (SUCURSAL PLANTA DE LIQUIDOS OBREGON),CARRETERA INTERNACIONAL Km. 1853,ZONA INDUSTRIAL No. 2,CAJEME,85065,SONORA,11NV260180005,13/Dec/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
165,FERTILIZANTES VIGOR S.A. DE C.V.,KM 1.2 CARRETERA TECOMAN a LAZARO CARDENAS,S/C,TECOMAN,28100,COLIMA,14NV0600901,03/Nov/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),ENVASADO DE FERTILIZANTES LIQUIDOS
166,FERTILIZANTES Y AGROQUIMICOS LA PISTA SA DE CV,LIBRAMIENTO ORIENTE KM 1.5 NAVE C BODEGA 3,FRACC. QUIRINDAVARA,URUAPAN,60190,MICHOACAN,15 NV 16 102  0015,01/Jul/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN Y
MEZCLAS FASICAS DE FERTILIZANTES  SALIDOS"
167,FERTILIZANTES Y ESTIMULANTES DEL NORESTE S. A. DE C. V.,BLVD. LAS COQUETAS 185-B,LAS COQUETAS,SALTILLO,25010,COAHUILA,07NV050300010,12/Mar/2015,FORMULACION DE NUTRIENTES VEGTALES,FORMULACION DE FERTILIZANTES Y  REGULADORES DE CRECIMIENTO (SOLIDOS Y LIQUIDOS)
168,FERTILIZANTES Y NUTRIENTES DEL GOLFO S.A. DE C.V.,CALLE PALMAS NO. 6 LOTE 12 Y 21 MANZANA 12,BRUNO PAGLIAI,VERACRUZ,91697,VERACRUZ,13NV3019302,23/Jan/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES SOLIDOS.
169,FERTILIZANTES Y PRODUCTOS AGROQUIMICOS S. A. DE C. V.,CARRETERA COATZACOALCOS-VILLAHERMOSA KM 4.2,,COATZACOALCOS,96400,VERACRUZ,06FNV300390014,18/Oct/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES Y MEJORADORES DE SUELO SOLIDOS.
170,FERTI-MICRO S.A. DE C.V.,MADERO NORTE 1033,FLORESTA,ZAMORA,59610,MICHOACAN,06FNV161080001,23/Feb/2006,FORMULACION DE NUTRIENTES VEGETALES,ENVASADO DE NUTRIENTES VEGETALES SOLIDOS
171,"FERTIORGANICOS COLIMA, S DE R.L. M.I.",LIBRAMIENTO A JALA Km. 1.5 CARRETERA A MADRID,MADRID,TECOMAN,28910,COLIMA,15NV0600913,20/May/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES ORGANOMINERALES SOLIDOS.
172,FERTIREY S.A. DE C.V.,AVENIDA INSTITUTO TECNOLOGICO DE LA LAGUNA No.  1318,TORREON,CENTRO,27000,COAHUILA.,98-007,11/Dec/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACION DE FERTILIZANTES INORGANICOS LIQUIDOS Y SOLIDOS
173,FERTIREY S.A. DE C.V.,PROL. CALZADA CUAUHTEMOC NO. 1318 SUR,,TORREON,,COAHUILA,98007,,FABRICA DE NUTRIENTES VEGETALES,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
174,FERTISQUISA,AVENIDA ARAUCARIAS LOTE 27 MANZANA XVIII,CIUDAD INDUSTRIAL BRUNO PAGLIAI,VERACRUZ,91697,VERACRUZ,07NV301930018,28/Jun/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS
175,FERTIZONA DE MEXICO S.A. DE C.V.,KM 271.6,LA VICTORIA,HERMOSILLO,,SONORA,94301,,"COMERCIALIZADORA, IMPORTADORA, DISTRIBUIDORA, PROCESADORA DE FERTILIZANTES Y ABONOS MINERALES",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
176,FLEXTRONICS MANUFACTURING JUAREZ S. DE R.L. DE C.V.,BLVD. INDEPENDENCIA 4240,LOTE BRAVO,CIUDAD JUAREZ,32695,CHIHUAHUA,16P0200404,17/Mar/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE BIOCIDAS  SOLIDOS
177,FLUENTES DE MEXICO S.A. DE C.V.,CARR. A NAVOLATO KM 12,CULIACAN,CULIACAN,80375,SINALOA,95014,,FORMULADORA E IMPORTADORA DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
178,FOGOL S.A. DE C.V.,25 DE MAYO No 152,TRABAJADORES,SANTA CATARINA,,NUEVO LEON,98010,12/Oct/1998,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS Y FABRICA DE NUTRIENTES VEGETALES,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
179,FORMULADORA DE COBRES AGRACOLAS S.A.P.I. DE C.V.,AV. JUAREZ No. 3750,SAN ANTONIO,CUAUHTAMOC,31530,CHIHUAHUA,13PNV0801730,25/Oct/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)",FABRICACIAN Y FORMULACIAN DE FUNGICIDAS-BACTERICIDAS QUAMICOS SALIDOS Y LAQUIDOS; ENVASADO DE FERTILIZANTES DE ORIGEN QUAMICO LAQUIDOS.
180,FOSFATOS DE CELAYA S.A. DE C.V.,AV. FERROCARRIL No. 216 LOTE 5 MZ. 6,FRACC. INDUSTRIAL FERROPUERTO,CELAYA,38150,GUANAJUATO,11NV110070030,18/Nov/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SALIDOS.
181,GAIA ASESORIA INTEGRAL AMBIENTAL S.A. DE C.V.,LIMA No. 2,EL UVAL,URUAPAN,60155,MICHOACAN,14PNV1610209,04/Jul/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION DE FUNGICIDAS, INSECTICIDAS Y NEMATICIDAS MICROBIALES SALIDOS Y LAQUIDOS, MEJORADORES DE SUELO E INOCULANTES SALIDOS Y LAQUIDOS."
182,GAPOL DE MEXICO  S.A DE C.V,GIOTTO NO.42,MIXCOAC,BENITO JUAREZ,,DISTRITO FEDERAL,02N090001,06/Nov/2002,ESTABLECIMIENTO PARA FABRICACION DE NUTRIENTES VEGETALES. EXCLUSIVAMENTE PARA PRODUCTOS REGISTRADOS POR EL TITULAR DE LA LICENCIA SANITARIA O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DEL PRODUCTO ANTE LA CICOPLAFEST,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
183,GAYQUIMEX  S.A.,KM 6.5 CARRETERA LAS CABAAAS,SAN MATEO XALCO,TEPOTZOTLAN,54600,MAXICO,05FNV150950014,17/Aug/2005,FORMULACION DE NUTRIENTES VEGETALES,NUTRIENTES VEGETALES EN POLVO
184,GEOQUIMICA INDUSTRIAL IBCER S.A. DE C.V.,CARR. INTERNACIONAL KM 12,,AHOME,81210,SINALOA,05FNV250010005,03/Aug/2005,FORMULACION DE NUTRIENTES VEGETALES,NUTRIENTES VEGETALES LIQUIDOS
185,GIFT AGRO S.A. DE C.V.,CARRETERA MEXICO TOLUCA KM 52.5,PARQUE INDUSTRIAL LERMA,LERMA,52000,ESTADO DE MEXICO,16 P 15 051  01,19/Dec/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE HERBICIDAS LIQUIDOS Y SOLIDOS
186,GOKIDAN INTERNATIONAL S. DE R.L. DE C.V.,JOSE MANUEL OTHON No. 207,TRANSITO,CUAUHTEMOC,06830,DISTRITO FEDERAL,10P090060004,27/Apr/2010,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS SOLIDOS
187,GOR GREEN FERTILIZANTES S.A DE C.V.,AV. LERDO DE TEJADA No: 332,PARQUE INDUSTRIAL LAGUNERO 4 ETAPA,GOMEZ PALACIO,35078,DURANGO,11PNV100070003,16/Aug/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS E INSECTICIDAS LIQUIDOS, FERTILIZANTES, REGULADORES DE CRECIMIENTO, MEJORADORES DE SUELO E INOCULANTES SOLIDOS Y  LIQUIDOS."
188,GREENCORP BIORGANIKS DE MEXICO S. A. DE C.V.,CARR. LOS PINOS Km. 1.5,,RAMOS ARIZPE,25900,COAHUILA,08PNV050270012,18/Dec/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, BACTERICIDAS, INSECTICIDAS, NEMATICIDAS, HERBICIDAS; FERTILIZANTES, MEJORADORES DE SUELO, INOCULANTES, REGULADORES DE CRECIMIENTO LIQUIDOS"
189,GRISI HNOS. S.A. DE C.V.,AMORES No 1746,DEL VALLE,BENITO JUAREZ,,DISTRITO FEDERAL,2000008,,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
190,GRUINDAG FOOD SOLUTIONS S.A. DE C.V.,CARRETERA CULIACAN EL DORADO SUR. 10994,SAN RAFAEL DE COSTA RICA,CULIACAN,80398,SINALOA,16PNV2500616,22/Jun/2016,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION DE FERTILIZANTES INORGANICOS, REGULADORES DE CRECIMIENTO, INOCULANTES, MEJORADORES DE SUELO LIQUIDOS FORMULACION DE FUNGICIDAS, NEMATICIDAS DE ORIGEN BIOLOGICO, LIQUIDOS FORMULACION DE INSECTICIDAS, BACTERICIDAS, FUNGICIDAS DE ORIGEN QUAMICO, LIQUIDOS"
191,GRUINDAG INTERNATIONAL S.A. DE C.V.,ALLENDE S/N LOTE 2 MZ 13,PARQUE INDUSTRIAL DE CUAUTLA,AYALA,62770,MORELOS,09PNV170040017,25/Sep/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACIAN DE FUNGICIDAS Y BACTERICIDAS LAQUIDOS, INSECTICIDAS Y NEMATICIDAS BIOLAGICOS LAQUIDOS, FUNGICIDAS-BACTERICIDAS SALIDOS, FERTILIZANTES Y REGULADORES DE CRECIMIENTO LAQUIDOS, MEJORADORES DE SUELO E INOCULANTES ORGANICOS LAQUIDOS."
192,GRUPO ACYTEX S.A. DE C.V.,AV. FERROCARRIL No. 190,MOCTEZUMA (SEGUNDA SECCIAN),VENUSTIANO CARRANZA,15530,DISTRITO FEDERAL,09P090150004,22/Oct/2009,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACIAN DE INSECTICIDAS SALIDOS
193,GRUPO AMEALCO S.A. DE C.V.,KM 10 CARR. SAN JUAN DEL RIO - LA LLAVE,COMUNIDAD DE VISTHA,SAN JUAN DEL RIO,76810,QUERETARO,13NV2201607,25/Mar/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
194,GRUPO BIOQUIMICO MEXICANO S. A. DE C. V.,LOS MAGUEYES NO. 2900,LOS CEDROS,RAMOS ARIZPE,25900,COAHUILA,06NV050270009,14/Dec/2006,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE  MEJORADORES DE SUELO SOLIDOS
195,GRUPO BIOQUIMICO MEXICANO S.A. DE C.V.,CARRETERA SALTILLO-MONTERREY KM 15.5,PARQUE INDUSTRIAL RAMOS ARIZPE,RAMOS ARIZPE,,COAHUILA,94164,,"FABRICACION, FORMULACION Y COMERCIALIZACION DE AGROQUIMICOS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
196,GRUPO DALET DE S.P.R. DE R.L  DE C.V.,CAMINO BOULEVARD AL SALTO S/N,SIN COLONIA,APASEO EL ALTO,38513,GUANAJUATO,13NV1100426,18/Oct/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES Y MEJORADORES DE SUELO DE ORIGEN ORGANICO LIQUIDOS Y SOLIDOS
