i>>?NAomero,Rubro,Estado,Municipio,Nombre del Area,Plazo de CertificaciA3n,Fecha de Certificacion,Superficie Certificada,Etnia a la que Pertenece,Ecosistemas,Observaciones
222,Personas FAsicas,Tlaxcala,Tlaxco,"Area Natural Praderaotegida del Bicentenario FracciA3n Exhacienda Tlacotla, Lote Seis",15 aA+-os,11/22/2010,40.37,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
223,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida del Bicentenario FracciA3n Uno de San JosA(c) El Manantial,15 aA+-os,11/22/2010,41.94,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
224,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida del Bicentenario Santa Clara El Corte,15 aA+-os,11/22/2010,30,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
225,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida del Bicentenario Santa Clara El Corte,15 aA+-os,11/22/2010,32.17,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
226,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida del Bicentenario FracciA3n Dos San Isidro Rancho Nuevo,15 aA+-os,11/23/2010,137.8,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
227,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida del Bicentenario Santa Clara El Corte,15 aA+-os,11/23/2010,30,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
228,Personas FAsicas,Tlaxcala,Tlaxco,"Area Natural Praderaotegida del Bicentenario FracciA3n Uno de la Exhacienda de Tlacotla, Rancho El Pardo",15 aA+-os,11/23/2010,98.38,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
229,Personas FAsicas,Tlaxcala,Altzayanca,"Area Natural Praderaotegida del Bicentenario Conjunto Praderaedial El Tecajete, Las Aguilas y Santo Tomas",15 aA+-os,11/23/2010,460,N/A,"Bosque de Pino Encino (relictos), Matorral XerA3filo de Altura",
230,Comunidades,Oaxaca,San Felipe Usila,Area de ConservaciA3n San Antonio Analco,15 aA+-os,12/2/2010,"2,050",Chinanteco,"Bosque de Pino-Encino, Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a",
231,Tierras de Uso ComAon,Guerrero,Alpoyeca,Area de ConservaciA3n EcolA3gica de San JosA(c) Buenavista,50 aA+-os,2/9/2011,358.54,Mixteco y Nahuatl,Bosque de Encino y Selva Baja Caducifolia,
232,Sociedades,Tamaulipas,Aldama,Reserva Bio Ventura,15 aA+-os,3/7/2011,207.85,Ninguna,"Selva Espinosa, Selva Baja Caducifolia, Ecosistema CavernAcola, Ecosistema AcuA!tico",
233,Personas FAsicas,Sonora,Amuris,Rancho El Aribabi FracciA3n A,15 aA+-os,3/7/2011,"3,951",N/A,"Matorral XerA3filo de Mezquite/Sahuaro/Nopal, Pastizal con Yuca, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Bosque de Encino, Bosque de Pino-Encino, VegetaciA3n AcuA!tica",
234,Empresas de ParticipaciA3n Estatal,Veracruz,IxhuatlA!n del Sureste,Parque EcolA3gico Tuzandepetl,50 aA+-os,3/7/2011,"1,104",Ninguna,"Selva Alta/Mediana Perennifolia inundable, Palmar, Manglar de agua dulce, Tular-Popal, VegetaciA3n acuA!tica, Acahual.",
235,Personas FAsicas,Oaxaca,San Juan Guichicovi,PequeA+-a Praderaopiedad del Sr. Epifanio Francisco Pacheco,15 aA+-os,4/26/2011,5.7,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
236,Parcelas,Oaxaca,San Juan Guichicovi,34 Z-1 P1/1,15 aA+-os,4/26/2011,5.92,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
237,Parcelas,Oaxaca,San Juan Guichicovi,44 Z-1 P1/1,15 aA+-os,4/26/2011,4.85,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
238,Comunidades,Guerrero,Alcozauca,Area de ConservaciA3n EcolA3gica San Vicente Zoyatlan,30 aA+-os,5/3/2011,"3,913.18",Mixteca,"Bosque de Encino, Bosque de Pino-Encino, Bosque MesA3filo en GalerAa",
239,Comunidades,Guerrero,Malinaltepec,Area de ConservaciA3n EcolA3gica de Santa Cruz del RincA3n,30 aA+-os,5/30/2011,"2,379.86",Me'phaa (Tlapaneco),"Bosque de Pino-Encino, Bosque MesA3filo, Relictos Selva Mediana Subcaducifolia",
240,Comunidades,Guerrero,San Luis AcatlA!n,Area de ConservaciA3n EcolA3gica de Pueblo Hidalgo,30 aA+-os,5/30/2011,"7,907.64",Me'phaa (Tlapaneco),"Bosque de Pino-Encino, Bosque MesA3filo, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
241,Comunidades,Guerrero,Acatepec,Area de ConservaciA3n EcolA3gica de Acatepec,30 aA+-os,5/30/2011,"12,655.71",Me'phaa (Tlapaneco),"Bosque de Pino-Encino, Bosque MesA3filo, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
242,Tierras de Uso ComAon,Guerrero,Metlatonoc,Area de ConservaciA3n EcolA3gica de Zitlaltepec,30 aA+-os,5/30/2011,"2,648.89",Me'phaa (Tlapaneco),"Bosque de Encino, Bosque de Pino-Encino",
243,Personas FAsicas,YucatA!n,TemozA3n,Centro de EducaciA3n Ambiental Finca San Luis,15 aA+-os,5/30/2011,14.05,N/A,Selva Mediana Subcaducifolia,
244,Comunidades,Guerrero,Tlacoapa,Area de ConservaciA3n EcolA3gica de Totomixtlahuaca,30 aA+-os,7/6/2011,"4,160.87",Me'phaa (Tlapaneco),"Bosque de Pino-Encino, Bosque MesA3filo, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
245,Sociedades,Guanajuato,San Miguel de Allende,Santuario CaA+-ada de la Virgen,99 aA+-os,7/13/2011,"5,001",Ninguna,"Matorral DesA(c)rtico Crasicaule, Pradera, Chaparral de Encino, Selva Baja Caducifolia, Bosque en GalerAa",
246,Parcelas,Guerrero,Ometepec,Barranca Honda 3,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
247,Parcelas,Guerrero,Ometepec,Arroyo Mamey,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
248,Parcelas,Guerrero,Ometepec,Paraje,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
249,Parcelas,Guerrero,Ometepec,El Zapote,99 aA+-os,7/26/2011,7.2,Amuzgo,Selva Mediana Subcaducifolia,
250,Parcelas,Guerrero,Ometepec,La Piedra Boluda,99 aA+-os,7/26/2011,15,Amuzgo,Selva Mediana Subcaducifolia,
251,Parcelas,Guerrero,Ometepec,El Ciruelo,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
252,Parcelas,Guerrero,Ometepec,Cerro Zanate,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
253,Parcelas,Guerrero,Ometepec,El LimA3n 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
254,Parcelas,Guerrero,Ometepec,El Sepudo 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
255,Parcelas,Guerrero,Ometepec,Barranca Honda 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
256,Parcelas,Guerrero,Ometepec,Los Limos,99 aA+-os,7/26/2011,4,Amuzgo,Selva Mediana Subcaducifolia,
257,Parcelas,Guerrero,Ometepec,La Vainilla,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
258,Parcelas,Guerrero,Ometepec,Toncano,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
259,Parcelas,Guerrero,Ometepec,La Vainilla 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
260,Personas FAsicas,Guerrero,MochitlA!n,Area de ConservaciA3n Agua de Obispo,99 aA+-os,7/26/2011,220,N/A,"Selva Mediana Subcaducifolia, Bosque de Pino Encino, Bosque de Encino, Bosque MesA3filo",
261,Parcelas,Guerrero,Ometepec,Tierra Perdida,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
262,Parcelas,Guerrero,Ometepec,Cerro del Naranjo 2,99 aA+-os,7/26/2011,2,Amuzgo,Selva Mediana Subcaducifolia,
263,Parcelas,Guerrero,Ometepec,Arroyo Miel,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
264,Parcelas,Guerrero,Ometepec,Arroyo Choco,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
265,Parcelas,Guerrero,Ometepec,El Sepudo 3,99 aA+-os,7/26/2011,3.28,Amuzgo,Selva Mediana Subcaducifolia,
266,Parcelas,Guerrero,Ometepec,El Pantano 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
267,Parcelas,Guerrero,Ometepec,El Sepudo 4,99 aA+-os,7/26/2011,4.18,Amuzgo,Selva Mediana Subcaducifolia,
268,Parcelas,Guerrero,Ometepec,Tres Cerros 2,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
269,Parcelas,Guerrero,Ometepec,El Camalote 2,99 aA+-os,7/26/2011,1.26,Amuzgo,Selva Mediana Subcaducifolia,
270,Parcelas,Guerrero,Ometepec,El Palmar 2,99 aA+-os,7/26/2011,2,Amuzgo,Selva Mediana Subcaducifolia,
271,Parcelas,Guerrero,Ometepec,El Palmar,99 aA+-os,7/26/2011,4.65,Amuzgo,Selva Mediana Subcaducifolia,
272,Parcelas,Guerrero,Ometepec,El Camalote,99 aA+-os,7/26/2011,2,Amuzgo,Selva Mediana Subcaducifolia,
273,Parcelas,Guerrero,Ometepec,"Cerro El Ocote, La Parcela y El Puma Rosa",99 aA+-os,7/26/2011,7,Amuzgo,Selva Mediana Subcaducifolia,
274,Parcelas,Guerrero,Ometepec,El Ceibo,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
275,Parcelas,Guerrero,Ometepec,Cerro del Naranjo,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
276,Parcelas,Guerrero,Ometepec,La Barrera,99 aA+-os,7/26/2011,2.72,Amuzgo,Selva Mediana Subcaducifolia,
277,Parcelas,Guerrero,Ometepec,El Zorro,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
278,Parcelas,Guerrero,Ometepec,Barranca Honda 1,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
279,Parcelas,Guerrero,Ometepec,El Sepudo,99 aA+-os,7/26/2011,2,Amuzgo,Selva Mediana Subcaducifolia,
280,Parcelas,Guerrero,Ometepec,Tres Cerros,99 aA+-os,7/26/2011,1,Amuzgo,Selva Mediana Subcaducifolia,
281,Parcelas,Guerrero,Ometepec,El Pantano,99 aA+-os,7/26/2011,7,Amuzgo,Selva Mediana Subcaducifolia,
282,Parcelas,Guerrero,Ometepec,RincA3n del Limo,99 aA+-os,7/26/2011,2,Amuzgo,Selva Mediana Subcaducifolia,
283,Personas FAsicas,Guerrero,Atoyac de Alvarez,Area de ConservaciA3n CaA+-ada del Iris,99 aA+-os,8/3/2011,792,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque Alpino, Bosque de Encino, Selva Mediana Subcaducifolia",
284,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida El Nacimiento,15 aA+-os,9/7/2011,204.45,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino, Pradera",
285,Comunidades,Oaxaca,San Pablo Villa de Mitla,El Campanario-Laacanloo Cruz,15 aA+-os,11/25/2011,"4,902.97",Zapotecos de los Valles Centrales,"Bosque de Pino-Encino, Bosque de Pino, Selva Baja Caducifolia, Matorral XerA3filo, Pastizal",
286,Tierras de Uso ComAon,Oaxaca,UniA3n Zapata,El Fuerte,15 aA+-os,11/25/2011,988.12,Mestizos,"Bosque de Pino-Encino, Bosque de Pino, Selva Baja Caducifolia, Matorral XerA3filo, Pastizal",
287,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida al Final de La Senda,15 aA+-os,11/29/2011,19.59,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino, Pradera inducida",
288,Sociedades,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida del Bicentenario Piedra Canteada,15 aA+-os,11/29/2011,632.28,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
289,Comunidades,Guerrero,HuamuxtitlA!n,Area de ConservaciA3n EcolA3gica de San BartolomA(c) Tlaquiltepec,30 aA+-os,1/24/2012,"1,537.80",Mixteco y Nahuatl,"Selva Baja Caducifolia, Bosque de Encino, Matorral gipsA3filo, Bosque en galerAa",
290,Comunidades,Guerrero,Cualac,Area de ConservaciA3n EcolA3gica de Cualac,30 aA+-os,1/27/2012,"6,958.04",Nahuatl,"Selva Baja Caducifolia, Sabana de Encino, Bosque en GalerAa",
291,Parcelas,Guerrero,Ometepec,Ojo de Agua,99 aA+-os,2/3/2012,2,Amuzgo,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
292,Parcelas,Guerrero,Ometepec,Rumbo a Agua FrAa,99 aA+-os,2/3/2012,2,Amuzgo,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
293,Parcelas,Guerrero,Ometepec,Cerro de San Marcos,99 aA+-os,2/7/2012,2,Amuzgo,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
294,Parcelas,Guerrero,Ometepec,El Camalote 3,99 aA+-os,2/7/2012,2,Amuzgo,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
295,Personas FAsicas,Tlaxcala,Mariano Arista,Area Natural Praderaotegida Santuario de La Luciernaga,15 aA+-os,3/14/2012,195,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
296,Personas FAsicas,Oaxaca,San Juan Guichicovi,PequeA+-a Praderaopiedad de Melquiades Flores Francisco denominada El Mirador,15 aA+-os,4/18/2012,73,N/A,Selva Alta Perennifolia y Selva Mediana Subcaducifolia,
297,Personas FAsicas,Baja California Sur,MulegA(c),Servidumbre EcolA3gica para La ConservaciA3n Costera y Terrestre Rancho San CristobA!l-MajibA(c)n,99 aA+-os,5/3/2012,538.5,N/A,"Matorral XerA3filo HalA3fito, Matorral XerA3filo MicrA3filo, Eriales",
298,Personas FAsicas,Sonora,Amuris,El Aribabi FracciA3n B,15 aA+-os,5/4/2012,"3,955.18",N/A,"Matorral XerA3filo de Mezquite/Sahuaro/Nopal, Pastizal con Yuca, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Bosque de Encino, Bosque de Pino-Encino, VegetaciA3n AcuA!tica",
299,Sociedades,Sonora,Amuris,FracciA3n C del Praderaedio RAostico Los GA 1/4 erigos,15 aA+-os,5/7/2012,"2,698.38",N/A,"Matorral XerA3filo de Mezquite/Sahuaro/Nopal, Pastizal con Yuca, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Bosque de Encino, Bosque de Pino-Encino, VegetaciA3n AcuA!tica",
300,Sociedades,Sonora,Amuris,"Praderaedio Potrero de Los silos, Potrero Los Amorosos y Praderaedio Los Vallecitos",15 aA+-os,5/4/2012,"2,195.38",N/A,"Matorral XerA3filo de Mezquite/Sahuaro/Nopal, Pastizal con Yuca, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Bosque de Encino, Bosque de Pino-Encino, VegetaciA3n AcuA!tica",
301,Tierras de Uso ComAon,Nuevo LeA3n,General Zaragoza,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano La Encantada,99 aA+-os,5/17/2012,"7,936.78",N/A,"Bosque Alpino, Bosque de Pino, Bosque de Pino Encino, Bosque MesA3filo, Bosque de GalerAa, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo,Pastizal Inducido",
302,Tierras de Uso ComAon,Nuevo LeA3n,General Zaragoza,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano San Francisco,99 aA+-os,6/11/2012,"3,293.89",N/A,"Bosque Alpino, Bosque de Pino, Bosque de Pino Encino, Chaparral, Matorral DesA(c)rtico RosetA3filo, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
303,Parcelas,Oaxaca,AsunciA3n Ixtaltepec,Parcela No 349 Z-1 P1/1,15 aA+-os,6/11/2012,395.6,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Sabana de Pino-Encino, Bosque de Pino-Encino",
304,Sociedades,Jalisco,La Huerta,Reserva Natural Zafiro,50 aA+-os,6/25/2012,280.48,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Bosque en GalerAa, Manglar, VegetaciA3n AcuA!tica.",
305,Personas FAsicas,Oaxaca,San Juan Guichicovi,Las Maravillas Lote 21,15 aA+-os,6/25/2012,142.2,N/A,Selva Alta Perennifolia,
306,Comunidades,Guerrero,HuamuxtitlA!n,Area de ConservaciA3n EcolA3gica de Santa Cruz,30 aA+-os,7/19/2012,"1,014.89",Nahuatl,"Selva Baja Caducifolia, Bosque de Encino, Matorral GipsA3filo",
307,Personas FAsicas,Oaxaca,Tlaxiaco,Barranca del Angel,15 aA+-os,8/2/2012,105,N/A,"Bosque de Pino-Encino, Bosque de Pino",
308,Personas FAsicas,Oaxaca,Santo Domingo Zanatepec,San JosA(c) de Los Amates,15 aA+-os,9/13/2012,17,N/A,Selva Mediana Subcaducifolia,
309,Personas FAsicas,Puebla,Chiautla de Tapia,El Campanario,20 aA+-os,9/19/2012,26,N/A,"Selva Baja Caducifolia, Matorral Espinoso",
310,Personas FAsicas,Puebla,ZacatlA!n,Palos CaAdos,50 aA+-os,9/19/2012,33.1,N/A,Bosque de Pino-Encino,
311,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida Cuarta FracciA3n de Santa Clara El Corte,15 aA+-os,9/19/2012,29,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
312,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida Segunda FracciA3n de Santa Clara El Corte,15 aA+-os,9/26/2012,28.08,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
313,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida Praderaimera FracciA3n de Santa Clara El Corte,15 aA+-os,9/26/2012,28.22,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
314,Personas FAsicas,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida Tercera FracciA3n de Santa Clara El Corte,15 aA+-os,9/26/2012,28.08,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
315,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida La Cruz,15 aA+-os,9/26/2012,14.73,N/A,Bosque Alpino de Abies,
316,Tierras de Uso ComAon,Guerrero,Chilpancingo de los Bravo,"Area de ConservaciA3n, PraderaotecciA3n y Desarrollo Silvopastoril Acahuizotla",99 aA+-os,10/25/2012,"1,998.82",N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de Encino.",
317,Comunidades,Oaxaca,San Marcos Arteaga,Cerro de La Culebra,15 aA+-os,10/30/2012,446,N/A,"Bosque de Encino, Palmar, Selva Baja Caducifolia, Matorral XerA3filo",
318,Personas FAsicas,Tlaxcala,Terrenate,Area Natural Praderaotegida Tenexac,15 aA+-os,11/8/2012,478.79,N/A,"Bosque de Pino Encino (relictos), Matorral",
319,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida FracciA3n Cuatro de San JosA(c) El Manantial,15 aA+-os,12/19/2012,41.94,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
320,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida FracciA3n NAomero Cinco de San JosA(c) El Manantial,15 aA+-os,12/19/2012,41.93,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
321,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida FracciA3n Dos de San JosA(c) El Manantial,15 aA+-os,12/19/2012,41.94,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino",
322,Comunidades,Oaxaca,Barrio de la Soledad,Area de Uso ComAon del NAocleo Agrario El Barrio de la Soledad,15 aA+-os,12/19/2012,"3,555.49",N/A,"Selva Alta Perennifolia, Selva Mediana Perennifolia","En alcance al Certificado CONANP.-343/2012, se emitio el oficio con el cual se excluyen del A!rea certificada 10.3126287 ha del predio denominado ""Cerro La PeA+-a"", lo anterior a solicitud de la comunidad."
323,Tierras de Uso ComAon,Oaxaca,San Juan Guichicovi,Tierras de Uso ComAon del Ejido San Juanito,15 aA+-os,3/26/2013,324.74,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
324,Tierras de Uso ComAon,Oaxaca,San Juan Guichicovi,Zona de Uso ComAon I y II,15 aA+-os,6/24/2013,44.57,Mixteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
325,Asociaciones,Baja California Sur,ComondAo,Reserva EcolA3gica Llanos de Magdalena,99 aA+-os,6/24/2013,621.55,N/A,"Matorral XerA3filo HalA3fito, Matorral XerA3filo MicrA3filo, Matorral XerA3filo Sarco-Crasicaule, Manglar",
326,Sociedades,Baja California Sur,La Paz,Reserva Natural El Portezuelo I,99 aA+-os,7/2/2013,"1,323.04",N/A,"Matorral Xeroripario, Matorral XerA3filo Sarcocrasicaule, Oasis y manantiales",
327,Sociedades,Baja California Sur,La Paz,Reserva Natural El Portezuelo II,99 aA+-os,7/2/2013,925.71,N/A,"Matorral Xeroripario, Matorral XerA3filo Sarcocrasicaule, Oasis y manantiales",
328,Sociedades,Baja California Sur,Loreto,Reserva Natural El Portezuelo III,99 aA+-os,7/2/2013,384.67,N/A,"Matorral Xeroripario, Matorral XerA3filo Sarcocrasicaule, Oasis y manantiales",
329,Comunidades,Oaxaca,Santa MarAa Tonameca,El GavilA!n,15 aA+-os,7/29/2013,"1,130.46",Zapotecas,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
330,Asociaciones,Baja California,Ensenada,Costa Salvaje WildLands,99 aA+-os,8/12/2013,"3,469.06",N/A,"Matorral XerA3filo Sarco-Crasicaule, Matorral XerA3filo HalA3fito",
331,Asociaciones,Sonora,Santa Cruz,Los Fresnos,99 aA+-os,8/14/2013,"3,876.54",N/A,"Pradera, Chaparral, GalerAas de Sauce/Platanus, Sabana de Pino/Encino/JunApero, Ecosistemas AcuA!ticos",
332,Personas FAsicas,YucatA!n,Uayma,Ha'Bin,30 aA+-os,8/19/2013,90,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
333,Personas FAsicas,Tlaxcala,Tlaxco,"Area Natural Praderaotegida Praderaimera FracciA3n, de la FracciA3n Dos del Praderaedio Sin ConstrucciA3n Denominado Ojo de Agua",15 aA+-os,8/19/2013,13.81,N/A,"Bosque Alpino de Abies, Bosque de Pino-Encino",
334,Personas FAsicas,YucatA!n,Dzitas y Tinum,Kitam,30 aA+-os,8/26/2013,47.45,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia",
335,Sociedades,Baja California,Ensenada,Rancho La ConcepciA3n,99 aA+-os,9/4/2013,500,N/A,"Chaparral, Bosque de Pino/Encino, Bosque de GalerAa",
336,Sociedades,Quintana Roo,Bosque de Encinonito Juarez,Reserva Praderaivada Moon Palace,15 aA+-os,9/4/2013,315.73,N/A,"Manglar, Pastizal, Tasistal, Selva baja Caducifolia",
337,Personas FAsicas,Oaxaca,Tututepec de Melchor Ocampo,Dos Farallones (El VigAa),25 aA+-os,10/7/2013,108.99,N/A,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Comunidad Costera, Manglar, Matorral XerA3filo",
338,Tierras de Uso ComAon,Tlaxcala,Tlaxco,Area Natural Praderaotegida Ejido El Rosario,15 aA+-os,10/24/2013,"1,269.26",N/A,"Bosque Alpino de Abies, Bosque de Pino-Encino",
339,Asociaciones,Baja California,Ensenada,Reserva Natural Valle Tranquilo,99 aA+-os,10/24/2013,"3,691.20",N/A,Matorral RosetA3filo Costero,
340,Comunidades,Oaxaca,Villa Diaz Ordaz,Danii Idoo (Cerro Iglesia),15 aA+-os,10/24/2013,"3,148.44",N/A,"Bosque de Pino, Bosque de Encino, Matorral XerA3filo, Selva Baja Caducifolia",
341,Comunidades,Oaxaca,San Juan Bautista Suchitepec,Siete Cumbres Guadalupe Cuautepec,15 aA+-os,11/24/2013,463.47,N/A,"Bosque de Encino, Sabana de Tascate, Selva Baja Caducifolia, Palmar de Brahea, Matorral XerA3filo, Bosque de GalerAa",
342,Personas FAsicas,Tlaxcala,Tlaxco,ANP Loma de Enmedio y Tetzitzilica,15 aA+-os,1/21/2014,27,N/A,"Bosque Alpino de Abies, Bosque de Pino-Encino",
343,Comunidades,Oaxaca,Ixpantepec Nieves,SA!ta SAAka,15 aA+-os,6/3/2014,91.15,Mixteca,"Selva Baja Caducifolia, Bosque de Encino",
344,Sociedades,Baja California Sur,La Paz,Reserva Natural El Portezuelo IV,99 aA+-os,7/3/2014,"2,039.78",N/A,"Matorral Xeroripario, Matorral XerA3filo Sarcocrasicaule, Oasis y manantiales",
345,Parcelas,Oaxaca,AsunciA3n Ixtaltepec,Parcela No 22 Z-1 P1/1,30 aA+-os,7/10/2014,85.67,Zapoteco,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Sabana de Pino-Encino, Selva Espinosa, Matorral XerA3filo",
346,Parcelas,Oaxaca,AsunciA3n Ixtaltepec,Parcela No 93 Z-1 P1/1,15 aA+-os,7/10/2014,72.77,Zapoteco,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Sabana de Pino-Encino, Selva Espinosa, Matorral XerA3filo",
347,Asociaciones,Baja California Sur,ComondAo,Reserva EcolA3gica Llanos de Magdalena II,99 aA+-os,7/14/2014,445.52,N/A,"Matorral XerA3filo HalA3fito, Matorral XerA3filo MicrA3filo, Matorral XerA3filo Sarco-Crasicaule, Manglar",
348,Personas FAsicas,Baja California Sur,ComondAo,Rancho Los Pumas,15 aA+-os,7/24/2014,"7,656.26",N/A,"Matorral XerA3filo, Selva Baja Caducifolia",
349,Tierras de Uso ComAon,Tlaxcala,Nanacamilpa de Mariano Arista,Area Natural Praderaotegida Ejido Miguel Lira y Ortega Santuario de la LuciA(c)rnaga,15 aA+-os,7/30/2014,275.56,N/A,"Bosque Alpino de Abies, Bosque de Pino-Encino",
350,Personas FAsicas,Oaxaca,AsunciA3n Ixtaltepec,Parcela No 221 Z-1 P1/1,40 aA+-os,7/30/2014,178.51,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Selva Baja Caducifolia, Sabana",
351,Personas FAsicas,Oaxaca,AsunciA3n Ixtaltepec,Parcela No 262 Z-1 P1/1,40 aA+-os,8/7/2014,141.16,N/A,"Selva Baja Caducifolia, Selva Mediana Subperennifolia, Sabana",
352,Comunidades,Oaxaca,Tezoatlan de Segura y Luna,Sata Yuku N'daa (AtrA!s del Cerro de La Mano),15 aA+-os,8/7/2014,625,Mixtecos,"Selva Baja Caducifolia, Bosque Espinoso, Bosque de Encino",
